_id,question,answer
664207e57f2a9e975d39b280,hey,I am chatbot
66421b4f9ebfe439c6617826, hey,Answer from openai for  hey
664387cc24d980bebb69faa0,Which faulty is for ML,Prof SAB
6644935def80cf585127d397,A6eDEAt,Answer from openai for A6eDEAt
6644a84eaf7ed8f0297ab577,Which faculty is for DB?,Prof.PDP
6644a8dbaf7ed8f0297ab579,Which faculty is for CP?,Prof.NAM
6644a921af7ed8f0297ab57a,Which faculty is for CD?,Prof VSP
6644a956af7ed8f0297ab57b,which faculty is for IOT? ,Prof.PDP
6644a9b3af7ed8f0297ab57c,TY 5th sem subjects,1.IoT=Internet of Things\n2.ML=Machine Learning\n3.CD=Compiler Designing\n4.CN=Computer Network\n5.CB=Consumer Behaviour
6644aa6faf7ed8f0297ab57d,Which faculty is for CB?,Prof.RAP
6644ae19d591d70c45f468c6,Name of students,Answer from openai for Name of students
6644ae2bd591d70c45f468c7,name of student,Answer from openai for name of student
